"CSV for general cost profile"
"Clock (seconds)"
Solids   ,Shells   ,Tshells  ,Beams    ,SPH      ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.574700022E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.505999988E-02,0.629000016E-03,0.781000010E-03,0.264799991E-02,0.120489998E-01,0.828000018E-03,0.414391994E+00,0.722000026E-03
0.000000000E+00,0.542999990E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.511599984E-02,0.586999988E-03,0.747999991E-03,0.307999994E-02,0.377600011E-02,0.775999972E-03,0.414876997E+00,0.584999972E-03
0.000000000E+00,0.404200004E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.648699980E-02,0.691999972E-03,0.719000003E-03,0.356100011E-02,0.375299994E-02,0.737999973E-03,0.414685994E+00,0.579999993E-03
0.000000000E+00,0.536900014E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.484899990E-02,0.591000018E-03,0.722000026E-03,0.414900016E-02,0.372899999E-02,0.752000022E-03,0.414487004E+00,0.586999988E-03
0.000000000E+00,0.405899994E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.599499978E-02,0.655999989E-03,0.816999993E-03,0.365000009E-02,0.365200010E-02,0.829999975E-03,0.414433986E+00,0.645999971E-03
0.000000000E+00,0.408399990E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.613899995E-02,0.546999974E-03,0.737999973E-03,0.422800006E-02,0.347699993E-02,0.748999999E-03,0.414546013E+00,0.559000007E-03
0.000000000E+00,0.541700004E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.478099985E-02,0.623999978E-03,0.774000015E-03,0.416600006E-02,0.344399991E-02,0.768000027E-03,0.414433986E+00,0.572999998E-03
0.000000000E+00,0.398899987E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.624400005E-02,0.530000019E-03,0.774000015E-03,0.368200010E-02,0.434899982E-02,0.746999984E-03,0.414709985E+00,0.586999988E-03
0.000000000E+00,0.403199997E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.604599994E-02,0.587999995E-03,0.757000002E-03,0.419900008E-02,0.359599991E-02,0.767000020E-03,0.414422989E+00,0.589000003E-03
0.000000000E+00,0.542399986E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.325500011E-02,0.656999997E-03,0.771999999E-03,0.513100019E-02,0.504999980E-02,0.777999987E-03,0.414126992E+00,0.568000018E-03
