Curveplot
CPU and Clock percentage(%)
processor ID
cpu/%
XY data
Solids    #pts=0000000048
  0.340000000000E+02  0.000000000000E+00
  0.350000000000E+02  0.000000000000E+00
  0.360000000000E+02  0.000000000000E+00
  0.370000000000E+02  0.000000000000E+00
  0.380000000000E+02  0.000000000000E+00
  0.390000000000E+02  0.000000000000E+00
  0.400000000000E+02  0.000000000000E+00
  0.410000000000E+02  0.000000000000E+00
  0.420000000000E+02  0.000000000000E+00
  0.430000000000E+02  0.000000000000E+00
  0.440000000000E+02  0.000000000000E+00
  0.450000000000E+02  0.000000000000E+00
  0.460000000000E+02  0.000000000000E+00
  0.470000000000E+02  0.000000000000E+00
  0.480000000000E+02  0.000000000000E+00
endcurve
Beams     #pts=0000000048
  0.100000000000E+01  0.000000000000E+00
  0.200000000000E+01  0.000000000000E+00
  0.300000000000E+01  0.000000000000E+00
  0.400000000000E+01  0.000000000000E+00
  0.500000000000E+01  0.000000000000E+00
  0.600000000000E+01  0.000000000000E+00
  0.700000000000E+01  0.000000000000E+00
  0.800000000000E+01  0.000000000000E+00
  0.900000000000E+01  0.000000000000E+00
  0.100000000000E+02  0.000000000000E+00
  0.110000000000E+02  0.000000000000E+00
  0.120000000000E+02  0.000000000000E+00
  0.130000000000E+02  0.000000000000E+00
  0.140000000000E+02  0.000000000000E+00
  0.150000000000E+02  0.000000000000E+00
  0.160000000000E+02  0.000000000000E+00
  0.170000000000E+02  0.000000000000E+00
  0.180000000000E+02  0.000000000000E+00
  0.190000000000E+02  0.000000000000E+00
  0.200000000000E+02  0.000000000000E+00
  0.210000000000E+02  0.000000000000E+00
  0.220000000000E+02  0.000000000000E+00
  0.230000000000E+02  0.000000000000E+00
  0.240000000000E+02  0.000000000000E+00
  0.250000000000E+02  0.000000000000E+00
  0.260000000000E+02  0.000000000000E+00
  0.270000000000E+02  0.000000000000E+00
  0.280000000000E+02  0.000000000000E+00
  0.290000000000E+02  0.000000000000E+00
  0.300000000000E+02  0.000000000000E+00
  0.310000000000E+02  0.000000000000E+00
  0.320000000000E+02  0.000000000000E+00
  0.330000000000E+02  0.000000000000E+00
  0.340000000000E+02  0.000000000000E+00
  0.350000000000E+02  0.000000000000E+00
  0.360000000000E+02  0.000000000000E+00
  0.370000000000E+02  0.000000000000E+00
  0.380000000000E+02  0.000000000000E+00
  0.390000000000E+02  0.000000000000E+00
  0.400000000000E+02  0.000000000000E+00
  0.410000000000E+02  0.000000000000E+00
  0.420000000000E+02  0.000000000000E+00
  0.430000000000E+02  0.000000000000E+00
  0.440000000000E+02  0.000000000000E+00
  0.450000000000E+02  0.000000000000E+00
  0.460000000000E+02  0.000000000000E+00
  0.470000000000E+02  0.000000000000E+00
  0.480000000000E+02  0.000000000000E+00
endcurve
SPH       #pts=0000000048
  0.100000000000E+01  0.000000000000E+00
  0.200000000000E+01  0.000000000000E+00
  0.300000000000E+01  0.000000000000E+00
  0.400000000000E+01  0.000000000000E+00
  0.500000000000E+01  0.000000000000E+00
  0.600000000000E+01  0.000000000000E+00
  0.700000000000E+01  0.000000000000E+00
  0.800000000000E+01  0.000000000000E+00
  0.900000000000E+01  0.000000000000E+00
  0.100000000000E+02  0.000000000000E+00
  0.110000000000E+02  0.000000000000E+00
  0.120000000000E+02  0.000000000000E+00
  0.130000000000E+02  0.000000000000E+00
  0.140000000000E+02  0.000000000000E+00
  0.150000000000E+02  0.000000000000E+00
  0.160000000000E+02  0.000000000000E+00
  0.170000000000E+02  0.000000000000E+00
  0.180000000000E+02  0.000000000000E+00
  0.190000000000E+02  0.000000000000E+00
  0.200000000000E+02  0.000000000000E+00
  0.210000000000E+02  0.000000000000E+00
  0.220000000000E+02  0.000000000000E+00
  0.230000000000E+02  0.000000000000E+00
  0.240000000000E+02  0.000000000000E+00
  0.250000000000E+02  0.000000000000E+00
  0.260000000000E+02  0.000000000000E+00
  0.270000000000E+02  0.000000000000E+00
  0.280000000000E+02  0.000000000000E+00
  0.290000000000E+02  0.000000000000E+00
  0.300000000000E+02  0.000000000000E+00
  0.310000000000E+02  0.000000000000E+00
  0.320000000000E+02  0.000000000000E+00
  0.330000000000E+02  0.000000000000E+00
  0.340000000000E+02  0.000000000000E+00
  0.350000000000E+02  0.000000000000E+00
  0.360000000000E+02  0.000000000000E+00
  0.370000000000E+02  0.000000000000E+00
  0.380000000000E+02  0.000000000000E+00
  0.390000000000E+02  0.000000000000E+00
  0.400000000000E+02  0.000000000000E+00
  0.410000000000E+02  0.000000000000E+00
  0.420000000000E+02  0.000000000000E+00
  0.430000000000E+02  0.000000000000E+00
  0.440000000000E+02  0.000000000000E+00
  0.450000000000E+02  0.000000000000E+00
  0.460000000000E+02  0.000000000000E+00
  0.470000000000E+02  0.000000000000E+00
  0.480000000000E+02  0.000000000000E+00
endcurve
Time-Step #pts=0000000048
  0.100000000000E+01  0.505999987945E-02
  0.200000000000E+01  0.511599984020E-02
  0.300000000000E+01  0.648699980229E-02
  0.400000000000E+01  0.484899990261E-02
  0.500000000000E+01  0.599499978125E-02
  0.600000000000E+01  0.613899994642E-02
  0.700000000000E+01  0.478099985048E-02
  0.800000000000E+01  0.624400004745E-02
  0.900000000000E+01  0.604599993676E-02
  0.100000000000E+02  0.325500010513E-02
  0.110000000000E+02  0.615900009871E-02
  0.120000000000E+02  0.423899991438E-02
  0.130000000000E+02  0.460899993777E-02
  0.140000000000E+02  0.592399993911E-02
  0.150000000000E+02  0.435400009155E-02
  0.160000000000E+02  0.485800020397E-02
  0.170000000000E+02  0.598100014031E-02
  0.180000000000E+02  0.657000020146E-02
  0.190000000000E+02  0.240999995731E-02
  0.200000000000E+02  0.597199983895E-02
  0.210000000000E+02  0.607099989429E-02
  0.220000000000E+02  0.638600019738E-02
  0.230000000000E+02  0.587499979883E-02
  0.240000000000E+02  0.657799979672E-02
  0.250000000000E+02  0.397800002247E-02
  0.260000000000E+02  0.453600008041E-02
  0.270000000000E+02  0.600499985740E-02
  0.280000000000E+02  0.453299982473E-02
  0.290000000000E+02  0.667800009251E-02
  0.300000000000E+02  0.622399989516E-02
  0.310000000000E+02  0.243599992245E-02
  0.320000000000E+02  0.358900008723E-02
  0.330000000000E+02  0.433399993926E-02
  0.340000000000E+02  0.411800015718E-02
  0.350000000000E+02  0.641199992970E-02
  0.360000000000E+02  0.637899991125E-02
  0.370000000000E+02  0.277799996547E-02
  0.380000000000E+02  0.584799982607E-02
  0.390000000000E+02  0.609399983659E-02
  0.400000000000E+02  0.458399998024E-02
  0.410000000000E+02  0.618400005624E-02
  0.420000000000E+02  0.638800021261E-02
  0.430000000000E+02  0.443099997938E-02
  0.440000000000E+02  0.613600015640E-02
  0.450000000000E+02  0.650899996981E-02
  0.460000000000E+02  0.651099998504E-02
  0.470000000000E+02  0.645900005475E-02
  0.480000000000E+02  0.672100018710E-02
endcurve
Contact   #pts=0000000048
  0.100000000000E+01  0.629000016488E-03
  0.200000000000E+01  0.586999987718E-03
  0.300000000000E+01  0.691999972332E-03
  0.400000000000E+01  0.591000018176E-03
  0.500000000000E+01  0.655999989249E-03
  0.600000000000E+01  0.546999974176E-03
  0.700000000000E+01  0.623999978416E-03
  0.800000000000E+01  0.530000019353E-03
  0.900000000000E+01  0.587999995332E-03
  0.100000000000E+02  0.656999996863E-03
  0.110000000000E+02  0.711000000592E-03
  0.120000000000E+02  0.670999987051E-03
  0.130000000000E+02  0.713000015821E-03
  0.140000000000E+02  0.658000004478E-03
  0.150000000000E+02  0.699999975041E-03
  0.160000000000E+02  0.607999972999E-03
  0.170000000000E+02  0.631999981124E-03
  0.180000000000E+02  0.594999990426E-03
  0.190000000000E+02  0.673000002280E-03
  0.200000000000E+02  0.734000001103E-03
  0.210000000000E+02  0.641999999061E-03
  0.220000000000E+02  0.702999997884E-03
  0.230000000000E+02  0.564999994822E-03
  0.240000000000E+02  0.592000025790E-03
  0.250000000000E+02  0.696000002790E-03
  0.260000000000E+02  0.644000014290E-03
  0.270000000000E+02  0.652000016998E-03
  0.280000000000E+02  0.586999987718E-03
  0.290000000000E+02  0.530000019353E-03
  0.300000000000E+02  0.708999985363E-03
  0.310000000000E+02  0.713000015821E-03
  0.320000000000E+02  0.711000000592E-03
  0.330000000000E+02  0.630999973509E-03
  0.340000000000E+02  0.698000018019E-03
  0.350000000000E+02  0.635000003967E-03
  0.360000000000E+02  0.638000026811E-03
  0.370000000000E+02  0.647999986541E-03
  0.380000000000E+02  0.654999981634E-03
  0.390000000000E+02  0.688000000082E-03
  0.400000000000E+02  0.623000029009E-03
  0.410000000000E+02  0.716999988072E-03
  0.420000000000E+02  0.654999981634E-03
  0.430000000000E+02  0.518999993801E-03
  0.440000000000E+02  0.651000009384E-03
  0.450000000000E+02  0.578999985009E-03
  0.460000000000E+02  0.696000002790E-03
  0.470000000000E+02  0.518999993801E-03
  0.480000000000E+02  0.516999978572E-03
endcurve
Rigid-Bdy #pts=0000000048
  0.100000000000E+01  0.781000009738E-03
  0.200000000000E+01  0.747999991290E-03
  0.300000000000E+01  0.719000003301E-03
  0.400000000000E+01  0.722000026144E-03
  0.500000000000E+01  0.816999992821E-03
  0.600000000000E+01  0.737999973353E-03
  0.700000000000E+01  0.774000014644E-03
  0.800000000000E+01  0.774000014644E-03
  0.900000000000E+01  0.757000001613E-03
  0.100000000000E+02  0.771999999415E-03
  0.110000000000E+02  0.755999993999E-03
  0.120000000000E+02  0.765000004321E-03
  0.130000000000E+02  0.761999981478E-03
  0.140000000000E+02  0.761999981478E-03
  0.150000000000E+02  0.774000014644E-03
  0.160000000000E+02  0.747999991290E-03
  0.170000000000E+02  0.715999980457E-03
  0.180000000000E+02  0.722999975551E-03
  0.190000000000E+02  0.774000014644E-03
  0.200000000000E+02  0.724999990780E-03
  0.210000000000E+02  0.763999996707E-03
  0.220000000000E+02  0.722999975551E-03
  0.230000000000E+02  0.757000001613E-03
  0.240000000000E+02  0.755999993999E-03
  0.250000000000E+02  0.812000012957E-03
  0.260000000000E+02  0.722000026144E-03
  0.270000000000E+02  0.735000008717E-03
  0.280000000000E+02  0.736000016332E-03
  0.290000000000E+02  0.762999989092E-03
  0.300000000000E+02  0.768000027165E-03
  0.310000000000E+02  0.757000001613E-03
  0.320000000000E+02  0.804000010248E-03
  0.330000000000E+02  0.723999983165E-03
  0.340000000000E+02  0.729000021238E-03
  0.350000000000E+02  0.748999998905E-03
  0.360000000000E+02  0.736000016332E-03
  0.370000000000E+02  0.746999983676E-03
  0.380000000000E+02  0.725999998394E-03
  0.390000000000E+02  0.731999985874E-03
  0.400000000000E+02  0.794999999925E-03
  0.410000000000E+02  0.748999998905E-03
  0.420000000000E+02  0.742000003811E-03
  0.430000000000E+02  0.758000009228E-03
  0.440000000000E+02  0.730000028852E-03
  0.450000000000E+02  0.724999990780E-03
  0.460000000000E+02  0.740999996196E-03
  0.470000000000E+02  0.753999978770E-03
  0.480000000000E+02  0.737999973353E-03
endcurve
Others    #pts=0000000048
  0.100000000000E+01  0.264799990691E-02
  0.200000000000E+01  0.307999993674E-02
  0.300000000000E+01  0.356100010686E-02
  0.400000000000E+01  0.414900016040E-02
  0.500000000000E+01  0.365000008605E-02
  0.600000000000E+01  0.422800006345E-02
  0.700000000000E+01  0.416600005701E-02
  0.800000000000E+01  0.368200009689E-02
  0.900000000000E+01  0.419900007546E-02
  0.100000000000E+02  0.513100018725E-02
  0.110000000000E+02  0.409899977967E-02
  0.120000000000E+02  0.476300017908E-02
  0.130000000000E+02  0.452300021425E-02
  0.140000000000E+02  0.451399991289E-02
  0.150000000000E+02  0.459099980071E-02
  0.160000000000E+02  0.352500006557E-02
  0.170000000000E+02  0.458300020546E-02
  0.180000000000E+02  0.347299990244E-02
  0.190000000000E+02  0.557499984279E-02
  0.200000000000E+02  0.433500017971E-02
  0.210000000000E+02  0.431700004265E-02
  0.220000000000E+02  0.361800007522E-02
  0.230000000000E+02  0.446800002828E-02
  0.240000000000E+02  0.337200006470E-02
  0.250000000000E+02  0.406299997121E-02
  0.260000000000E+02  0.453899987042E-02
  0.270000000000E+02  0.408300012350E-02
  0.280000000000E+02  0.429099984467E-02
  0.290000000000E+02  0.224400009029E-02
  0.300000000000E+02  0.355100003071E-02
  0.310000000000E+02  0.520200002939E-02
  0.320000000000E+02  0.474100001156E-02
  0.330000000000E+02  0.475799990818E-02
  0.340000000000E+02  0.508600007743E-02
  0.350000000000E+02  0.308599998243E-02
  0.360000000000E+02  0.318200001493E-02
  0.370000000000E+02  0.613800017163E-02
  0.380000000000E+02  0.442800018936E-02
  0.390000000000E+02  0.402799993753E-02
  0.400000000000E+02  0.421900022775E-02
  0.410000000000E+02  0.405899994075E-02
  0.420000000000E+02  0.329799996689E-02
  0.430000000000E+02  0.449700001627E-02
  0.440000000000E+02  0.408900016919E-02
  0.450000000000E+02  0.282200006768E-02
  0.460000000000E+02  0.311799999326E-02
  0.470000000000E+02  0.302800000645E-02
  0.480000000000E+02  0.258699990809E-02
endcurve
Misc1     #pts=0000000048
  0.100000000000E+01  0.120489997789E-01
  0.200000000000E+01  0.377600011416E-02
  0.300000000000E+01  0.375299993902E-02
  0.400000000000E+01  0.372899998911E-02
  0.500000000000E+01  0.365200010128E-02
  0.600000000000E+01  0.347699993290E-02
  0.700000000000E+01  0.344399991445E-02
  0.800000000000E+01  0.434899982065E-02
  0.900000000000E+01  0.359599990770E-02
  0.100000000000E+02  0.504999980330E-02
  0.110000000000E+02  0.417200010270E-02
  0.120000000000E+02  0.588400010020E-02
  0.130000000000E+02  0.418200017884E-02
  0.140000000000E+02  0.475999992341E-02
  0.150000000000E+02  0.591700011864E-02
  0.160000000000E+02  0.377799989656E-02
  0.170000000000E+02  0.534099992365E-02
  0.180000000000E+02  0.343100004829E-02
  0.190000000000E+02  0.523599982262E-02
  0.200000000000E+02  0.469700014219E-02
  0.210000000000E+02  0.419300002977E-02
  0.220000000000E+02  0.385600002483E-02
  0.230000000000E+02  0.478600012138E-02
  0.240000000000E+02  0.376900006086E-02
  0.250000000000E+02  0.394900003448E-02
  0.260000000000E+02  0.353100011125E-02
  0.270000000000E+02  0.413500005379E-02
  0.280000000000E+02  0.424699997529E-02
  0.290000000000E+02  0.553799979389E-02
  0.300000000000E+02  0.346300005913E-02
  0.310000000000E+02  0.523199979216E-02
  0.320000000000E+02  0.584999984130E-02
  0.330000000000E+02  0.633300002664E-02
  0.340000000000E+02  0.434100022539E-02
  0.350000000000E+02  0.358100002632E-02
  0.360000000000E+02  0.418400019407E-02
  0.370000000000E+02  0.459499983117E-02
  0.380000000000E+02  0.375299993902E-02
  0.390000000000E+02  0.343100004829E-02
  0.400000000000E+02  0.394599977881E-02
  0.410000000000E+02  0.347099988721E-02
  0.420000000000E+02  0.352000002749E-02
  0.430000000000E+02  0.427999999374E-02
