"CSV for general cost profile"
"Clock (seconds)"
Solids   ,Shells   ,Tshells  ,Beams    ,SPH      ,Time-Step,Contact  ,Rigid-Bdy,Others   ,Misc1    ,Misc2    ,Misc3    ,Misc4    
0.000000000E+00,0.268660001E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.642100023E-02,0.354700000E-02,0.177900004E-02,0.416899985E-02,0.145199997E-01,0.168900006E-02,0.312837005E+00,0.761500001E-02
0.000000000E+00,0.266650002E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.613800017E-02,0.350499991E-02,0.179200002E-02,0.446899980E-02,0.909600034E-02,0.161699997E-02,0.313636988E+00,0.744199986E-02
0.000000000E+00,0.251400005E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.778600015E-02,0.429699989E-02,0.179500005E-02,0.512900017E-02,0.906100031E-02,0.164000003E-02,0.313116997E+00,0.751599995E-02
0.000000000E+00,0.264810007E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.587800005E-02,0.364400004E-02,0.173799996E-02,0.566900009E-02,0.926399976E-02,0.165600004E-02,0.312905014E+00,0.746600004E-02
0.000000000E+00,0.251579992E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.742000015E-02,0.351499999E-02,0.172599999E-02,0.530999992E-02,0.946300011E-02,0.166800001E-02,0.313048005E+00,0.748699997E-02
0.000000000E+00,0.251269992E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.706900004E-02,0.426100008E-02,0.168600003E-02,0.603999989E-02,0.962700043E-02,0.164999999E-02,0.312925011E+00,0.741099985E-02
0.000000000E+00,0.266730003E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.568500021E-02,0.349000003E-02,0.176400004E-02,0.586700020E-02,0.960000046E-02,0.165600004E-02,0.313005000E+00,0.745399995E-02
0.000000000E+00,0.252570007E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.733599998E-02,0.349100004E-02,0.179600006E-02,0.528800022E-02,0.956999976E-02,0.166199997E-02,0.313230008E+00,0.746800005E-02
0.000000000E+00,0.253420006E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.689900015E-02,0.434100023E-02,0.178799999E-02,0.576200010E-02,0.939400028E-02,0.168900006E-02,0.312999010E+00,0.756500009E-02
0.000000000E+00,0.266260002E-01,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.423400011E-02,0.434299977E-02,0.175599998E-02,0.680000009E-02,0.105430000E-01,0.165500003E-02,0.312647998E+00,0.747699989E-02
